transaction_id,account_type,amount,transaction_date,merchant_category,fee_pct,memo,branch_zip,balance
TXN-00001,Savings,189.64,12/06/2018,Utility,7.5%,Wire transfer to savings,43166,5401.72
TXN-00002,Investment,54.12,03/21/2019,Hardware,,Mobile check deposit,17500,3370.64
TXN-00003,Investment,"$1,299.67",11/28/2018,Hardware,48.3%,,13988,2968.05
TXN-00004,Checking,$535.24,,Grocery,89.7%,Mobile check deposit,71709,6408.02
TXN-00005,Investment,$224.74,,Hardware,,Recurring bill payment,92868,8747.81
TXN-00006,Credit,$8.76,06/16/2018,Grocery,39.9,ATM withdrawal,32776,2745.71
TXN-00007,Investment,$186.27,10/27/2018,Hardware,41.5%,Refund processed,94875,630.37
TXN-00008,Savings,60.1,01/24/2019,Restaurant,40.8,Overdraft fee applied,23616-1472,2828.85
TXN-00009,Savings,$27.82,05/19/2018,Education,32.5%,Direct deposit - payroll,90336,1546.13
TXN-00010,Checking,58.29,11/20/2018,Pet Store,78.2%,ATM withdrawal,30079,7274.91
TXN-00011,Credit,31.77,12/27/2018,Bookstore,,ATM withdrawal,33187,5185.62
TXN-00012,Investment,$165.37,,Auto Parts,,International transaction fee,27255-2956,11781.71
TXN-00013,Checking,$625.90,,Insurance,4.5%,Direct deposit - payroll,17346,7771.4
TXN-00014,Credit,242.56,02/19/2019,Department Store,,Wire transfer to savings,18169,11548.5
TXN-00015,Savings,$2477.56,03/24/2018,Restaurant,29.2,Mobile check deposit,81314,
TXN-00016,Checking,13.95,04/22/2019,Coffee Shop,,Recurring bill payment,35451,-6185.01
TXN-00017,Savings,$49.05,08/13/2018,Gas Station,8.8%,Wire transfer to savings,12185,6050.47
TXN-00018,Credit,$29.03,12/07/2018,Travel,80.6,,98079,5631.27
TXN-00019,savings,393.56,,Bakery,66.9,Direct deposit - payroll,51481,4770.25
TXN-00020,Savings,$69.09,12/25/2018,Auto Parts,73.2%,,32179,
TXN-00021,Savings,$113.00,05/13/2018,Subscription,43.2,Recurring bill payment,86919,
TXN-00022,Investment,192.56,10/09/2018,Gas Station,68.0,Mobile check deposit,58005,7171.13
TXN-00023,Checking,15.71,01/20/2018,Hardware,60.9,International transaction fee,97096,7776.68
TXN-00024,Credit,$42.71,04/03/2018,Utility,76.9%,Recurring bill payment,97519,1000.88
TXN-00025,Investment,$297.89,06/02/2018,Travel,44.7%,Wire transfer to savings,18513,3962.27
TXN-00026,Investment,46.63,,Travel,47.3,Monthly subscription payment,75735-5368,4178.48
TXN-00027,Credit,$11.51,02/27/2018,Travel,64.4%,Mobile check deposit,21005,
TXN-00028,,30.49,,Pet Store,10.8%,Refund processed,15833,1136.11
TXN-00029,Checking,63.85,03/20/2018,Pharmacy,43.6%,,36041,5243.77
TXN-00030,Credit,109.96,07/06/2018,Healthcare,97.2%,Refund processed,63641,6112.82
TXN-00031,Savings,$82.68,02/03/2018,Bookstore,3.8%,Overdraft fee applied,10422,
TXN-00032,Investment,43.07,07/04/2018,Utility,31.6%,Direct deposit - payroll,83473,1382.24
TXN-00033,Investment,277.88,,Pharmacy,31.4%,Monthly subscription payment,54754,6636.95
TXN-00034,Credit,$77.10,,Bakery,63.3,Overdraft fee applied,21284,2514.38
TXN-00035,Checking,115.73,05/09/2019,Bookstore,10.6%,,70687-2483,4117.78
TXN-00036,Investment,45.92,11/08/2018,Restaurant,,Recurring bill payment,33920,3673.73
TXN-00037,Credit,$550.45,06/21/2018,Healthcare,9.5%,,34334,9559.98
TXN-00038,Checking,56.26,,Online Retail,9.5%,Monthly subscription payment,92132,2674.99
TXN-00039,Checking,98.46,10/29/2018,Bookstore,,Refund processed,32195,11239.34
TXN-00040,Credit,$311.69,07/05/2018,Restaurant,32.4%,Wire transfer to savings,38511,
TXN-00041,Credit,125.97,05/20/2018,Utility,97.7%,International transaction fee,70338-5042,
TXN-00042,Credit,122.25,03/05/2019,Clothing Store,3.7%,Mobile check deposit,50341,7526.24
TXN-00043,Checking,8.43,08/26/2018,Sporting Goods,,International transaction fee,94189,
TXN-00044,Credit,203.72,01/12/2019,Hardware,,Mobile check deposit,35046,1989.22
TXN-00045,Savings,$96.23,,Coffee Shop,35.1%,Overdraft fee applied,27397,3956.06
TXN-00046,Checking,172.41,03/29/2018,Subscription,99.8,Wire transfer to savings,59716,10405.48
