sku_id,category,product_line,unit_cost,stock_pct,restock_date,supplier_notes,weight_kg,warehouse_zip
SKU-00001,Electronics,,230.39,46.7%,02/02/2019,,3.22,50334
SKU-00002,Apparel,Vintage Series,$141.34,25.7%,10/08/2018,"Domestic supplier, ships within 5 days",1.02,
SKU-00003,Apparel,Winter Basics,318.91,,01/05/2018,"Organic certified, updated labeling",0.95,77237
SKU-00004,Food,Tech Essentials,56.21,,01/23/2018,Backordered until next quarter,2.71,79514
SKU-00005,Apparel,Urban Style,8.6,23.0%,09/22/2018,Packaging redesign in progress,3.8,12948
SKU-00006,Outdoor,Back to School,17.46,17.6%,,"Recall notice issued, hold shipments",4.0,24282
SKU-00007,Furniture,Limited Edition,177.27,,01/14/2019,"Domestic supplier, ships within 5 days",2.64,82887
SKU-00008,Food,Holiday Special,$321.86,6.8%,,"Seasonal item, discontinue after March",1.49,77993
SKU-00009,Food,Office Supplies,$9.13,3.3%,04/15/2018,"Organic certified, updated labeling",2.91,46101
SKU-00010,Food,Travel Gear,$489.21,60.5,02/28/2018,,3.35,27596
SKU-00011,Electronics,Country Living,$157.21,61.9,06/17/2018,,2.89,18064
SKU-00012,Beauty,,$82.72,53.0%,11/07/2018,,4.35,
SKU-00013,Beauty,,42.43,76.2%,03/20/2018,Backordered until next quarter,0.98,48191
SKU-00014,Electronics,Vintage Series,607.52,3.9%,08/23/2018,Bulk discount available at 500+ units,1.45,
SKU-00015,Furniture,Gift Sets,$264.12,,06/11/2018,,4.14,56538
SKU-00016,Electronics,,$162.23,9.5%,05/02/2018,Lead time 2-3 weeks from overseas,0.29,78971
SKU-00017,Electronics,Tech Essentials,$37.42,,08/13/2018,Lead time 2-3 weeks from overseas,1.69,51297
SKU-00018,Outdoor,Home Comfort,$624.54,13.3%,10/22/2018,Lead time 2-3 weeks from overseas,1.4,
SKU-00019,Food,Sport Line,$93.36,88.0%,02/27/2018,Lead time 2-3 weeks from overseas,0.15,39082
SKU-00020,Food,Vintage Series,128.87,51.1%,01/15/2019,Lead time 2-3 weeks from overseas,2.22,23392-8450
SKU-00021,Food,Back to School,98.27,8.2%,11/06/2018,Lead time 2-3 weeks from overseas,3.62,78971
SKU-00022,Furniture,Urban Style,$35.92,61.7,05/24/2018,"Domestic supplier, ships within 5 days",2.73,26223
SKU-00023,Electronics,Classic Range,$132.11,0.9,04/27/2018,,3.7,89489
SKU-00024,Food,Sport Line,207.75,77.6%,,Backordered until next quarter,4.29,41600
SKU-00025,Apparel,Travel Gear,$52.99,65.1%,07/29/2018,Packaging redesign in progress,1.92,92689
SKU-00026,Apparel,Budget Range,119.21,21.3%,02/09/2018,"Domestic supplier, ships within 5 days",6.47,74563
SKU-00027,Beauty,Holiday Special,$96.56,37.5%,08/18/2018,"Domestic supplier, ships within 5 days",1.98,63083
SKU-00028,Outdoor,,269.93,0.8,11/26/2018,"New vendor, quality TBD",2.18,39585-7662
SKU-00029,Beauty,,$62.88,69.4,05/14/2018,"Recall notice issued, hold shipments",1.44,14555
SKU-00030,Furniture,Premium Line,118.14,32.3%,03/22/2018,"Domestic supplier, ships within 5 days",3.32,20992
SKU-00031,electronics,Winter Basics,152.11,57.2%,03/04/2018,"Recall notice issued, hold shipments",2.06,90199
SKU-00032,Electronics,Pet Supplies,61.2,,,"Organic certified, updated labeling",2.38,75099
SKU-00033,Apparel,Eco Series,$33.43,,01/28/2018,,2.19,
SKU-00034,Apparel,,40.64,99.0%,12/23/2018,Lead time 2-3 weeks from overseas,2.16,22492
SKU-00035,Electronics,Eco Series,$147.09,63.3,11/12/2018,Packaging redesign in progress,2.74,75625
SKU-00036,Furniture,Travel Gear,$67.87,24.2%,09/01/2018,Lead time 2-3 weeks from overseas,1.82,82423
SKU-00037,Food,Budget Range,66.8,43.7%,03/12/2018,,1.9,78743
SKU-00038,Electronics,Budget Range,$185.86,74.0%,04/26/2018,,4.11,11398
SKU-00039,Electronics,,305.94,44.6%,04/08/2018,,2.06,
SKU-00040,Apparel,Premium Line,376.18,6.9%,09/30/2018,,3.08,13853
SKU-00041,Electronics,,43.16,16.9%,05/01/2018,"Domestic supplier, ships within 5 days",1.17,53855
SKU-00042,Beauty,Urban Style,$272.41,79.1%,,"Organic certified, updated labeling",1.83,24681
SKU-00043,Beauty,Holiday Special,"$1,098.81",64.8%,06/18/2018,Bulk discount available at 500+ units,0.65,88275
